English,Chinese
build an executable computer program,建立可執行的電腦程式
accomplish a specific computing task,完成特定的計算任務
generate algorithms,產生（尤指電腦使用的）演算法
implementation of algorithms in a chosen programming language,演算法於選定的程式語言中之執行
coding,編碼
central processing unit,中央處理器；中央處理單元
debug,除錯
source code,原始碼
software engineering,軟體工程
reverse engineering,反向工程；逆向工程
hacker,駭客
coding mistake,編碼錯誤
a bug in the code,代碼中的錯誤
work automatically without being encoded commands,自動工作無需編碼指令
mimic human cognition,模仿人類的認知
interpret external data,解釋外部數據
learning and problem solving,學習與解決問題
correctly interpret external data,正確解釋外部數據
learn to achieve specific goals,學習實現特定目標
definition changes,定義變更
